invoice_no,invoice_date,vendor_gstin,vendor_name,expense_code,taxable_value,cgst,sgst,igst,invoice_total
APE/26-27/1002,17-06-2026,29CDJCV8558J4Z3,Apex Cloud Services Pvt Ltd,5101,720800,64872,64872,0,850544
APE/26-27/1053,17-06-2026,29CDJCV8558J4Z3,Apex Cloud Services Pvt Ltd,5101,437700,39393,39393,0,516486
CAT/26-27/1015,05-06-2026,29HOLCK5948I8ZM,Catalyst Media & Communications Pvt Ltd,6205,423100,38079,38079,0,499258
CAT/26-27/1017,27-06-2026,29HOLCK5948I8ZM,Catalyst Media & Communications Pvt Ltd,6205,760300,68427,68427,0,897154
CAT/26-27/1019,23-06-2026,29HOLCK5948I8ZM,Catalyst Media & Communications Pvt Ltd,6205,111700,10053,10053,0,131806
CAT/26-27/1050,18-06-2026,29HOLCK5948I8ZM,Catalyst Media & Communications Pvt Ltd,6205,681800,61362,61362,0,804524
LUM/26-27/1004,26-06-2026,19TEWCP6546M2ZI,"Lumina & Associates, Chartered Accountants",6101,562000,0,0,101160,663160
LUM/26-27/1013,03-06-2026,19TEWCP6546M2ZI,"Lumina & Associates, Chartered Accountants",6101,73000,0,0,13140,86140
LUM/26-27/1029,01-06-2026,19TEWCP6546M2ZI,"Lumina & Associates, Chartered Accountants",6101,143500,0,0,25830,169330
LUM/26-27/1032,12-06-2026,19TEWCP6546M2ZI,"Lumina & Associates, Chartered Accountants",6101,273700,0,0,49266,322966
LUM/26-27/1052,23-06-2026,19TEWCP6546M2ZI,"Lumina & Associates, Chartered Accountants",6101,493700,0,0,88866,582566
LUM/26-27/1054,15-06-2026,19TEWCP6546M2ZI,"Lumina & Associates, Chartered Accountants",6101,429900,0,0,77382,507282
MER/26-27/1005,25-06-2026,33RCLCI2718B6Z9,Meridian Travels Pvt Ltd,6200,651900,0,0,78228,730128
MER/26-27/1020,16-06-2026,33RCLCI2718B6Z9,Meridian Travels Pvt Ltd,6200,769300,0,0,92316,861616
MER/26-27/1023,27-06-2026,33RCLCI2718B6Z9,Meridian Travels Pvt Ltd,6200,555000,0,0,66600,621600
MER/26-27/1027,26-06-2026,33RCLCI2718B6Z9,Meridian Travels Pvt Ltd,6200,597200,0,0,71664,668864
MER/26-27/1033,17-06-2026,33RCLCI2718B6Z9,Meridian Travels Pvt Ltd,6200,666200,0,0,79944,746144
NIM/26-27/1014,23-06-2026,29TIZCF2290F3Z0,Nimbus Tech Solutions Pvt Ltd,5100,623100,56079,56079,0,735258
