invoice_no,invoice_date,vendor_gstin,vendor_name,expense_code,taxable_value,cgst,sgst,igst,invoice_total,recon_remark
APE/26-27/1002,17-06-2026,29CDJCV8558J4Z3,Apex Cloud Services Pvt Ltd,5101,720800,64872,64872,0,850544,Matched with GSTR-2B
APE/26-27/1053,17-06-2026,29CDJCV8558J4Z3,Apex Cloud Services Pvt Ltd,5101,437700,39393,39393,0,516486,Matched with GSTR-2B
CAT/26-27/1015,05-06-2026,29HOLCK5948I8ZM,Catalyst Media & Communications Pvt Ltd,6205,423100,38079,38079,0,499258,Matched with GSTR-2B
CAT/26-27/1017,27-06-2026,29HOLCK5948I8ZM,Catalyst Media & Communications Pvt Ltd,6205,704000,63360,63360,0,830720,"Corrected to GSTR-2B: taxable was 760300, now 704000"
CAT/26-27/1019,23-06-2026,29HOLCK5948I8ZM,Catalyst Media & Communications Pvt Ltd,6205,111700,10053,10053,0,131806,"Not in GSTR-2B for Jun-2026: ITC held, vendor to be followed up"
CAT/26-27/1050,18-06-2026,29HOLCK5948I8ZM,Catalyst Media & Communications Pvt Ltd,6205,681800,61362,61362,0,804524,Matched with GSTR-2B
LUM/26-27/1004,26-06-2026,19TEWCP6546M2ZI,"Lumina & Associates, Chartered Accountants",6101,562000,0,0,101160,663160,Matched with GSTR-2B
LUM/26-27/1013,03-06-2026,19TEWCP6546M2ZI,"Lumina & Associates, Chartered Accountants",6101,73000,0,0,13140,86140,Matched with GSTR-2B
LUM/26-27/1029,01-06-2026,19TEWCP6546M2ZI,"Lumina & Associates, Chartered Accountants",6101,143500,0,0,25830,169330,"Not in GSTR-2B for Jun-2026: ITC held, vendor to be followed up"
LUM/26-27/1032,12-06-2026,19TEWCP6546M2ZI,"Lumina & Associates, Chartered Accountants",6101,273700,0,0,49266,322966,Matched with GSTR-2B
LUM/26-27/1052,23-06-2026,19TEWCP6546M2ZI,"Lumina & Associates, Chartered Accountants",6101,493700,0,0,88866,582566,Matched with GSTR-2B
LUM/26-27/1054,15-06-2026,19TEWCP6546M2ZI,"Lumina & Associates, Chartered Accountants",6101,429900,0,0,77382,507282,Matched with GSTR-2B
MER/26-27/1005,25-06-2026,33RCLCI2718B6Z9,Meridian Travels Pvt Ltd,6200,651900,0,0,78228,730128,Matched with GSTR-2B
MER/26-27/1020,16-06-2026,33RCLCI2718B6Z9,Meridian Travels Pvt Ltd,6200,769300,0,0,92316,861616,Matched with GSTR-2B
MER/26-27/1023,27-06-2026,33RCLCI2718B6Z9,Meridian Travels Pvt Ltd,6200,555000,0,0,66600,621600,Matched with GSTR-2B
MER/26-27/1027,26-06-2026,33RCLCI2718B6Z9,Meridian Travels Pvt Ltd,6200,597200,0,0,71664,668864,Matched with GSTR-2B
MER/26-27/1033,17-06-2026,33RCLCI2718B6Z9,Meridian Travels Pvt Ltd,6200,666200,0,0,79944,746144,Matched with GSTR-2B
NIM/26-27/1014,23-06-2026,29TIZCF2290F3Z0,Nimbus Tech Solutions Pvt Ltd,5100,623100,56079,56079,0,735258,Matched with GSTR-2B
NIM/26-27/1018,10-06-2026,29TIZCF2290F3Z0,Nimbus Tech Solutions Pvt Ltd,5100,160800,14472,14472,0,189744,"Not in GSTR-2B for Jun-2026: ITC held, vendor to be followed up"
NIM/26-27/1043,28-06-2026,29TIZCF2290F3Z0,Nimbus Tech Solutions Pvt Ltd,5100,686100,61749,61749,0,809598,"Corrected to GSTR-2B: taxable was 617500, now 686100"
NIM/26-27/1044,16-06-2026,29TIZCF2290F3Z0,Nimbus Tech Solutions Pvt Ltd,5100,37100,3339,3339,0,43778,Matched with GSTR-2B
NIM/26-27/1051,18-06-2026,29TIZCF2290F3Z0,Nimbus Tech Solutions Pvt Ltd,5100,150200,13518,13518,0,177236,Matched with GSTR-2B
ORB/26-27/1000,19-06-2026,09WMYCT4763F3Z8,Orbit Engineering Services,6004,274800,0,0,49464,324264,Matched with GSTR-2B
ORB/26-27/1001,13-06-2026,09WMYCT4763F3Z8,Orbit Engineering Services,6004,162700,0,0,29286,191986,Matched with GSTR-2B
PIO/26-27/1003,04-06-2026,36JDVCC3793Y1ZM,Pioneer Telecom Pvt Ltd,6009,377700,0,0,67986,445686,Vendor GSTIN corrected from 24KVECB9325F4ZB to 36JDVCC3793Y1ZM (as filed in GSTR-2B)
PIO/26-27/1007,26-06-2026,36JDVCC3793Y1ZM,Pioneer Telecom Pvt Ltd,6009,445200,0,0,80136,525336,"Corrected to GSTR-2B: taxable was 400700, now 445200"
PIO/26-27/1008,15-06-2026,36JDVCC3793Y1ZM,Pioneer Telecom Pvt Ltd,6009,348300,0,0,62694,410994,Vendor GSTIN corrected from 09JOUCP7811C6ZX to 36JDVCC3793Y1ZM (as filed in GSTR-2B)
PIO/26-27/1011,04-06-2026,36JDVCC3793Y1ZM,Pioneer Telecom Pvt Ltd,6009,534600,0,0,96228,630828,"Not in GSTR-2B for Jun-2026: ITC held, vendor to be followed up"
PIO/26-27/1016,25-06-2026,36JDVCC3793Y1ZM,Pioneer Telecom Pvt Ltd,6009,227000,0,0,40860,267860,Matched with GSTR-2B
PIO/26-27/1040,10-06-2026,36JDVCC3793Y1ZM,Pioneer Telecom Pvt Ltd,6009,55900,0,0,10062,65962,Matched with GSTR-2B
STE/26-27/1009,21-06-2026,29ZPUCT0882Z9ZU,Sterling Estates & Holdings Pvt Ltd,6000,49500,4455,4455,0,58410,Matched with GSTR-2B
STE/26-27/1012,15-06-2026,29EZHCD0667Y1ZZ,Stellar Stationers & Supplies,6006,617400,55566,55566,0,728532,"Corrected to GSTR-2B: taxable was 666800, now 617400"
STE/26-27/1021,23-06-2026,29ZPUCT0882Z9ZU,Sterling Estates & Holdings Pvt Ltd,6000,372900,33561,33561,0,440022,Matched with GSTR-2B
STE/26-27/1022,02-06-2026,29EZHCD0667Y1ZZ,Stellar Stationers & Supplies,6006,584400,52596,52596,0,689592,Vendor GSTIN corrected from 32OXWCJ7267A2ZN to 29EZHCD0667Y1ZZ (as filed in GSTR-2B)
STE/26-27/1025,13-06-2026,29EZHCD0667Y1ZZ,Stellar Stationers & Supplies,6006,359300,32337,32337,0,423974,Matched with GSTR-2B
STE/26-27/1031,03-06-2026,29EZHCD0667Y1ZZ,Stellar Stationers & Supplies,6006,53200,4788,4788,0,62776,Matched with GSTR-2B
STE/26-27/1042,19-06-2026,29ZPUCT0882Z9ZU,Sterling Estates & Holdings Pvt Ltd,6000,381900,34371,34371,0,450642,"Corrected to GSTR-2B: taxable was 343700, now 381900"
STE/26-27/1045,15-06-2026,29EZHCD0667Y1ZZ,Stellar Stationers & Supplies,6006,531200,47808,47808,0,626816,Matched with GSTR-2B
STE/26-27/1048,25-06-2026,29EZHCD0667Y1ZZ,Stellar Stationers & Supplies,6006,201200,18108,18108,0,237416,Matched with GSTR-2B
VER/26-27/1030,06-06-2026,29TESCG5999C3ZZ,Vertex Facility Management Pvt Ltd,6005,504900,45441,45441,0,595782,"Corrected to GSTR-2B: taxable was 545300, now 504900"
VER/26-27/1035,03-06-2026,29TESCG5999C3ZZ,Vertex Facility Management Pvt Ltd,6005,353100,31779,31779,0,416658,"Not in GSTR-2B for Jun-2026: ITC held, vendor to be followed up"
VER/26-27/1038,26-06-2026,29TESCG5999C3ZZ,Vertex Facility Management Pvt Ltd,6005,383000,34470,34470,0,451940,Matched with GSTR-2B
ZEN/26-27/1006,17-06-2026,19PZLCK7985V6ZW,Zenith Software Labs Pvt Ltd,5102,211100,0,0,37998,249098,Matched with GSTR-2B
ZEN/26-27/1024,26-06-2026,19PZLCK7985V6ZW,Zenith Software Labs Pvt Ltd,5102,481200,0,0,86616,567816,Matched with GSTR-2B
ZEN/26-27/1028,04-06-2026,19PZLCK7985V6ZW,Zenith Software Labs Pvt Ltd,5102,684400,0,0,123192,807592,Matched with GSTR-2B
ZEN/26-27/1037,14-06-2026,19PZLCK7985V6ZW,Zenith Software Labs Pvt Ltd,5102,159200,0,0,28656,187856,Matched with GSTR-2B
